City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
350,nosy varika,-20.5833,48.5333,296.62,90,98,1.81,MG,1709329561
351,sanchursk,56.9413,47.2499,272.14,79,94,0.7,RU,1709329562
352,guane,22.2025,-84.0875,300.13,67,89,4.55,CU,1709329562
353,sumbe,-11.2061,13.8437,299.8,76,98,2.9,AO,1709329563
354,kendari,-3.945,122.4989,298.26,94,89,1.18,ID,1709329563
355,vadso,70.0744,29.7487,276.24,81,40,6.17,NO,1709328972
356,susuman,62.7833,148.1667,255.36,87,100,2.24,RU,1709328978
357,ismailia,30.6043,32.2723,293.03,41,13,6.23,EG,1709329565
358,murun-kuren,49.6342,100.1625,255.17,85,100,1.18,MN,1709329565
359,oyama,36.3,139.8,279.59,28,92,3.71,JP,1709329106
360,gokceada,40.2011,25.909,280.75,80,100,1.36,TR,1709329567
